X	Y	Z
-889.7822876	198	-0.000001
-893.1156616	198	-0.000001
-896.4489746	198	-0.000001
-899.7822876	198	-0.000001
-903.1156616	198	-0.000001
-906.4489746	198	-0.000001
-909.7822876	198	-0.000001
-913.1156616	198	-0.000001
-916.4489746	198	-0.000001
-916.4489746	193	-0.000001
-916.4489746	189	-0.000001
-916.4489746	185	-0.000001
-916.4489746	181	-0.000001
-916.4489746	177	-0.000001
-916.4489746	173	-0.000001
-916.4489746	169	-0.000001
-916.4489746	165	-0.000001
-916.4489746	161	-0.000001
-916.4489746	157	-0.000001
-916.4489746	153	-0.000001
-916.4489746	149	-0.000001
-916.4489746	145	-0.000001
-916.4489746	141	-0.000001
-916.4489746	137	-0.000001
-916.4489746	133	-0.000001
-916.4489746	129	-0.000001
-916.4489746	125	-0.000001
-916.4489746	121	-0.000001
-916.4489746	117	-0.000001
-916.4489746	113	-0.000001
-916.4489746	109	-0.000001
-916.4489746	105	-0.000001
-916.4489746	101	-0.000001
-916.4489746	97	-0.000001
-916.4489746	93	-0.000001
-916.4489746	89	-0.000001
-916.4489746	85	-0.000001
-916.4489746	81	-0.000001
-916.4489746	77	-0.000001
-916.4489746	73	-0.000001
-916.4489746	69	-0.000001
-916.4489746	65	-0.000001
-916.4489746	61	-0.000001
-916.4489746	57	-0.000001
-916.4489746	53	-0.000001
-916.4489746	49	-0.000001
-916.4489746	45	-0.000001
-916.4489746	41	-0.000001
-916.4489746	37	-0.000001
-916.4489746	33	-0.000001
-916.4489746	29	-0.000001
-916.4489746	25	-0.000001
-916.4489746	21	-0.000001
-916.4489746	17	-0.000001
-916.4489746	13	-0.000001
-916.4489746	9	-0.000001
-916.4489746	5	-0.000001
-916.4489746	1	-0.000001
-916.4489746	-2	-0.000001
-914.7822876	-2	-0.000001
-911.4489746	-2	-0.000001
-908.1156616	-2	-0.000001
-904.7822876	-2	-0.000001
-901.4489746	-2	-0.000001
-898.1156616	-2	-0.000001
-894.7822876	-2	-0.000001
-891.4489746	-2	-0.000001
-888.1156616	-2	-0.000001
-884.7822876	-2	-0.000001
-881.4489746	-2	-0.000001
-878.1156616	-2	-0.000001
-874.7822876	-2	-0.000001
-871.4489746	-2	-0.000001
-868.1156616	-2	-0.000001
-864.7822876	-2	-0.000001
-861.4489746	-2	-0.000001
-858.1156616	-2	-0.000001
-854.7822876	-2	-0.000001
-851.4489746	-2	-0.000001
-848.1156616	-2	-0.000001
-844.7822876	-2	-0.000001
-841.4489746	-2	-0.000001
-838.1156616	-2	-0.000001
-834.7822876	-2	-0.000001
-831.4489746	-2	-0.000001
-828.1156616	-2	-0.000001
-824.7822876	-2	-0.000001
-821.4489746	-2	-0.000001
-818.1156616	-2	-0.000001
-814.7822876	-2	-0.000001
-811.4489746	-2	-0.000001
-808.1156616	-2	-0.000001
-804.7822876	-2	-0.000001
-801.4489746	-2	-0.000001
-798.1156616	-2	-0.000001
-794.7822876	-2	-0.000001
-791.4489746	-2	-0.000001
-788.1156616	-2	-0.000001
-784.7822876	-2	-0.000001
-781.4489746	-2	-0.000001
-778.1156616	-2	-0.000001
-774.7822876	-2	-0.000001
-771.4489746	-2	-0.000001
-768.1156616	-2	-0.000001
-764.7822876	-2	-0.000001
-761.4489746	-2	-0.000001
-758.1156616	-2	-0.000001
-754.7822876	-2	-0.000001
-751.4489746	-2	-0.000001
-748.1156616	-2	-0.000001
-744.7822876	-2	-0.000001
-741.4489746	-2	-0.000001
-738.1156616	-2	-0.000001
-734.7822876	-2	-0.000001
-731.4489746	-2	-0.000001
-728.1156616	-2	-0.000001
-724.7822876	-2	-0.000001
-721.4489746	-2	-0.000001
-718.1156616	-2	-0.000001
-714.7822876	-2	-0.000001
-711.4489746	-2	-0.000001
-708.1156616	-2	-0.000001
-704.7822876	-2	-0.000001
-701.4489746	-2	-0.000001
-698.1156616	-2	-0.000001
-694.7822876	-2	-0.000001
-691.4489746	-2	-0.000001
-688.1156616	-2	-0.000001
-684.7822876	-2	-0.000001
-681.4489746	-2	-0.000001
-678.1156616	-2	-0.000001
-674.7822876	-2	-0.000001
-671.4489746	-2	-0.000001
-668.1156616	-2	-0.000001
-664.7822876	-2	-0.000001
-661.4489746	-2	-0.000001
-658.1156616	-2	-0.000001
-654.7822876	-2	-0.000001
-651.4489746	-2	-0.000001
-648.1156616	-2	-0.000001
-644.7822876	-2	-0.000001
-641.4489746	-2	-0.000001
-638.1156616	-2	-0.000001
-634.7822876	-2	-0.000001
-631.4489746	-2	-0.000001
-628.1156616	-2	-0.000001
-624.7822876	-2	-0.000001
-621.4489746	-2	-0.000001
-618.1156616	-2	-0.000001
-614.7822876	-2	-0.000001
-611.4489746	-2	-0.000001
-608.1156616	-2	-0.000001
-604.7822876	-2	-0.000001
-601.4489746	-2	-0.000001
-598.1156616	-2	-0.000001
-594.7822876	-2	-0.000001
-591.4489746	-2	-0.000001
-588.1156616	-2	-0.000001
-584.7822876	-2	-0.000001
-581.4489746	-2	-0.000001
-578.1156616	-2	-0.000001
-574.7822876	-2	-0.000001
-571.4489746	-2	-0.000001
-568.1156616	-2	-0.000001
-564.7822876	-2	-0.000001
-561.4489746	-2	-0.000001
-558.1156616	-2	-0.000001
-554.7822876	-2	-0.000001
-551.4489746	-2	-0.000001
-548.1156616	-2	-0.000001
-544.4489746	-2	-0.000001
-540.4490356	-2	-0.000001
-536.4490356	-2	-0.000001
-533.1157227	-2	-0.000001
-529.7823486	-2	-0.000001
-526.4490356	-2	-0.000001
-523.1157227	-2	-0.000001
-519.7823486	-2	-0.000001
-516.4490356	-2	-0.000001
-513.1157227	-2	-0.000001
-509.7823486	-2	-0.000001
-506.4490051	-2	-0.000001
-503.1156616	-2	-0.000001
-499.7823486	-2	-0.000001
-496.4490051	-2	-0.000001
-493.1156616	-2	-0.000001
-489.7823486	-2	-0.000001
-486.4490051	-2	-0.000001
-483.1156616	-2	-0.000001
-479.7823486	-2	-0.000001
-476.4490051	-2	-0.000001
-473.1156616	-2	-0.000001
-469.7823486	-2	-0.000001
-466.4490051	-2	-0.000001
-463.1156616	-2	-0.000001
-459.7823486	-2	-0.000001
-456.4490051	-2	-0.000001
-453.1156616	-2	-0.000001
-449.7823486	-2	-0.000001
-446.4490051	-2	-0.000001
-443.1156616	-2	-0.000001
-439.7823486	-2	-0.000001
-436.4490051	-2	-0.000001
-433.1156616	-2	-0.000001
-429.7823486	-2	-0.000001
-426.4490051	-2	-0.000001
-423.1156616	-2	-0.000001
-419.7823486	-2	-0.000001
-416.4490051	-2	-0.000001
-413.1156616	-2	-0.000001
-409.7823486	-2	-0.000001
-406.4490051	-2	-0.000001
-403.1156616	-2	-0.000001
-399.7823486	-2	-0.000001
-396.4490051	-2	-0.000001
-393.1156616	-2	-0.000001
-389.7823486	-2	-0.000001
-386.4490051	-2	-0.000001
-383.1156616	-2	-0.000001
-379.7823486	-2	-0.000001
-376.4490051	-2	-0.000001
-373.1156616	-2	-0.000001
-369.7823486	-2	-0.000001
-366.4490051	-2	-0.000001
-363.1156616	-2	-0.000001
-359.7823486	-2	-0.000001
-356.4490051	-2	-0.000001
-352.4490051	-2	-0.000001
-348.4490356	-2	-0.000001
-344.7823792	-2	-0.000001
-341.4490356	-2	-0.000001
-338.1156921	-2	-0.000001
-334.7823792	-2	-0.000001
-331.4490356	-2	-0.000001
-328.1156921	-2	-0.000001
-324.7823792	-2	-0.000001
-321.4490356	-2	-0.000001
-318.1156921	-2	-0.000001
-314.7823792	-2	-0.000001
-311.4490356	-2	-0.000001
-308.1156921	-2	-0.000001
-304.7823792	-2	-0.000001
-301.4490356	-2	-0.000001
-298.1156921	-2	-0.000001
-294.7823792	-2	-0.000001
-291.4490356	-2	-0.000001
-288.1156921	-2	-0.000001
-284.7823792	-2	-0.000001
-281.4490356	-2	-0.000001
-278.1156921	-2	-0.000001
-274.7823792	-2	-0.000001
-271.4490356	-2	-0.000001
-268.1156921	-2	-0.000001
-264.7823792	-2	-0.000001
-261.4490356	-2	-0.000001
-258.1156921	-2	-0.000001
-254.7823639	-2	-0.000001
-251.4490356	-2	-0.000001
-248.1157074	-2	-0.000001
-244.7823639	-2	-0.000001
-241.4490356	-2	-0.000001
-238.1157074	-2	-0.000001
-234.7823639	-2	-0.000001
-231.4490356	-2	-0.000001
-228.1157074	-2	-0.000001
-224.7823639	-2	-0.000001
-221.4490356	-2	-0.000001
-218.1157074	-2	-0.000001
-214.7823639	-2	-0.000001
-211.4490356	-2	-0.000001
-208.1157074	-2	-0.000001
-204.7823639	-2	-0.000001
-201.4490356	-2	-0.000001
-198.1157074	-2	-0.000001
-194.7823639	-2	-0.000001
-191.4490356	-2	-0.000001
-188.1157074	-2	-0.000001
-184.7823639	-2	-0.000001
-181.4490356	-2	-0.000001
-178.1157074	-2	-0.000001
-174.7823639	-2	-0.000001
-171.4490356	-2	-0.000001
-168.1157074	-2	-0.000001
-166.4490204	-2	-0.000001
-166.4490204	3	-0.000001
-166.4490204	7	-0.000001
-166.4490204	11	-0.000001
-166.4490204	15	-0.000001
-166.4490204	19	-0.000001
-166.4490204	23	-0.000001
-166.4490204	27	-0.000001
-166.4490204	31	-0.000001
-166.4490204	35	-0.000001
-166.4490204	39	-0.000001
-166.4490204	43	-0.000001
-166.4490204	47	-0.000001
-166.4490204	51	-0.000001
-166.4490204	55	-0.000001
-166.4490204	59	-0.000001
-166.4490204	63	-0.000001
-166.4490204	67	-0.000001
-166.4490204	71	-0.000001
-166.4490204	75	-0.000001
-166.4490204	79	-0.000001
-166.4490204	83	-0.000001
-166.4490204	87	-0.000001
-166.4490204	91	-0.000001
-166.4490204	95	-0.000001
-166.4490204	99	-0.000001
-166.4490204	103	-0.000001
-166.4490204	107	-0.000001
-166.4490204	111	-0.000001
-166.4490204	115	-0.000001
-166.4490204	119	-0.000001
-166.4490204	123	-0.000001
-166.4490204	127	-0.000001
-166.4490204	131	-0.000001
-166.4490204	135	-0.000001
-166.4490204	139	-0.000001
-166.4490204	143	-0.000001
-166.4490204	147	-0.000001
-166.4490204	151	-0.000001
-166.4490204	155	-0.000001
-166.4490204	159	-0.000001
-166.4490204	163	-0.000001
-166.4490204	167	-0.000001
-166.4490204	171	-0.000001
-166.4490204	175	-0.000001
-166.4490204	179	-0.000001
-166.4490204	183	-0.000001
-166.4490204	187	-0.000001
-166.4490204	191	-0.000001
-166.4490204	195	-0.000001
